"","Indicator","Year","value","Income Quintile"
"59","DiagnosticTests","2010",0.033542435512392,"4th"
"60","InpatientCare","2010",0.0813152582816137,"4th"
"61","Medicines","2010",0.661094799872774,"Richest"
"62","MedicalProducts","2010",0.00920217153397495,"Richest"
"63","OutpatientCare","2010",0.0795911384159968,"Richest"
"64","Dental","2010",0.0917361166814966,"Richest"
"65","DiagnosticTests","2010",0.0396916333348807,"Richest"
"66","InpatientCare","2010",0.118684140160877,"Richest"
"67","Medicines","2010",0.824680293621282,"Total"
"68","MedicalProducts","2010",0.0215855721309831,"Total"
"69","OutpatientCare","2010",0.0296976050095795,"Total"
"70","Dental","2010",0.0550833021754745,"Total"
"71","DiagnosticTests","2010",0.0224494937901768,"Total"
"72","InpatientCare","2010",0.0465037332725044,"Total"
"73","Medicines","2015",0.883898074555996,"Poorest"
"74","MedicalProducts","2015",0.0249168762773945,"Poorest"
"75","OutpatientCare","2015",0.0261727104556717,"Poorest"
"76","Dental","2015",0.0188841847222392,"Poorest"
"77","DiagnosticTests","2015",0.00590234089443716,"Poorest"
"78","InpatientCare","2015",0.0402258130942614,"Poorest"
"79","Medicines","2015",0.870175216394422,"2nd"
"80","MedicalProducts","2015",0.016330415083518,"2nd"
"81","OutpatientCare","2015",0.0225666258444204,"2nd"
"82","Dental","2015",0.0414764391304595,"2nd"
"83","DiagnosticTests","2015",0.0157052399110146,"2nd"
"84","InpatientCare","2015",0.033746063636165,"2nd"
"85","Medicines","2015",0.681473739412768,"3rd"
"86","MedicalProducts","2015",0.0206897561656069,"3rd"
"87","OutpatientCare","2015",0.0669806088888485,"3rd"
"88","Dental","2015",0.0221389722772818,"3rd"
"89","DiagnosticTests","2015",0.0321153095300065,"3rd"
"90","InpatientCare","2015",0.176601613725489,"3rd"
"91","Medicines","2015",0.423258017674545,"4th"
"92","MedicalProducts","2015",0.0698642151535566,"4th"
"93","OutpatientCare","2015",0.0410661723695454,"4th"
"94","Dental","2015",0.0779069691244074,"4th"
"95","DiagnosticTests","2015",0.029413604554491,"4th"
"96","InpatientCare","2015",0.358491021123455,"4th"
"97","Medicines","2015",0.342221086902651,"Richest"
"98","MedicalProducts","2015",0.141822207398899,"Richest"
"99","OutpatientCare","2015",0.156197767280107,"Richest"
"100","Dental","2015",0.0976990299317347,"Richest"
"101","DiagnosticTests","2015",0.0131827888624639,"Richest"
"102","InpatientCare","2015",0.248877119624144,"Richest"
"103","Medicines","2015",0.689966492434335,"Total"
"104","MedicalProducts","2015",0.0477257639413458,"Total"
"105","OutpatientCare","2015",0.0537262963528387,"Total"
"106","Dental","2015",0.0472954307544918,"Total"
"107","DiagnosticTests","2015",0.017288725256147,"Total"
"108","InpatientCare","2015",0.143997291260842,"Total"
"109","Medicines","2016",0.895630098571036,"Poorest"
"110","MedicalProducts","2016",0.0213806520437024,"Poorest"
"111","OutpatientCare","2016",0.0165635058465894,"Poorest"
"112","Dental","2016",0.0195062457974647,"Poorest"
"113","DiagnosticTests","2016",0.0043656296020159,"Poorest"
"114","InpatientCare","2016",0.042553867746278,"Poorest"
"115","Medicines","2016",0.856775442160511,"2nd"
"116","MedicalProducts","2016",0.0240276348720777,"2nd"
"117","OutpatientCare","2016",0.0216826476667131,"2nd"
"118","Dental","2016",0.00969795367276269,"2nd"
"119","DiagnosticTests","2016",0.0256798694959092,"2nd"
"120","InpatientCare","2016",0.0621364548026006,"2nd"
"121","Medicines","2016",0.74355270141941,"3rd"
"122","MedicalProducts","2016",0.0307282469447177,"3rd"
"123","OutpatientCare","2016",0.0319566537655417,"3rd"
"124","Dental","2016",0.0237253984067418,"3rd"
"125","DiagnosticTests","2016",0.0374388700411182,"3rd"
"126","InpatientCare","2016",0.13259812753857,"3rd"
"127","Medicines","2016",0.581045185306059,"4th"
"128","MedicalProducts","2016",0.247557025740699,"4th"
"129","OutpatientCare","2016",0.0426554314238092,"4th"
"130","Dental","2016",0.0313768884198112,"4th"
"131","DiagnosticTests","2016",0.0341931629554655,"4th"
"132","InpatientCare","2016",0.0631723019127227,"4th"
"133","Medicines","2016",0.185336267070569,"Richest"
"134","MedicalProducts","2016",0.0721204516740322,"Richest"
"135","OutpatientCare","2016",0.180236725146514,"Richest"
"136","Dental","2016",0.0144969320479664,"Richest"
"137","DiagnosticTests","2016",0.0173749862749157,"Richest"
"138","InpatientCare","2016",0.530434645184836,"Richest"
"139","Medicines","2016",0.672310774424444,"Total"
"140","MedicalProducts","2016",0.0549328268436157,"Total"
"141","OutpatientCare","2016",0.0595287732772958,"Total"
"142","Dental","2016",0.0179794655158239,"Total"
"143","DiagnosticTests","2016",0.0206869301798614,"Total"
"144","InpatientCare","2016",0.174561231196883,"Total"
"145","Medicines","2017",0.915507093074011,"Poorest"
"146","MedicalProducts","2017",0.0140518033220369,"Poorest"
"147","OutpatientCare","2017",0.0210605624109151,"Poorest"
"148","Dental","2017",0.010286967484137,"Poorest"
"149","DiagnosticTests","2017",0.00855167999151466,"Poorest"
"150","InpatientCare","2017",0.0305418938030154,"Poorest"
"151","Medicines","2017",0.87977487853522,"2nd"
"152","MedicalProducts","2017",0.0264515873618348,"2nd"
"153","OutpatientCare","2017",0.0254166588024436,"2nd"
"154","Dental","2017",0.00644933172972748,"2nd"
"155","DiagnosticTests","2017",0.0237265914030815,"2nd"
"156","InpatientCare","2017",0.0381809544831562,"2nd"
"157","Medicines","2017",0.707240683309781,"3rd"
"158","MedicalProducts","2017",0.126308042207656,"3rd"
"159","OutpatientCare","2017",0.0343245721284921,"3rd"
"160","Dental","2017",0.0230182126042975,"3rd"
"161","DiagnosticTests","2017",0.0209078993915828,"3rd"
"162","InpatientCare","2017",0.0882005891817268,"3rd"
"163","Medicines","2017",0.602238851101986,"4th"
"164","MedicalProducts","2017",0.112130850851373,"4th"
"165","OutpatientCare","2017",0.0203119338251292,"4th"
"166","Dental","2017",0.0231097589570977,"4th"
"167","DiagnosticTests","2017",0.0285363541475081,"4th"
"168","InpatientCare","2017",0.213672252009556,"4th"
"169","Medicines","2017",0.190170269745455,"Richest"
"170","MedicalProducts","2017",0.045305577534054,"Richest"
"171","OutpatientCare","2017",0.0203620251429347,"Richest"
"172","Dental","2017",0.126122404776791,"Richest"
"173","DiagnosticTests","2017",0.0564049839059048,"Richest"
"174","InpatientCare","2017",0.561634731606476,"Richest"
"175","Medicines","2017",0.689249400153479,"Total"
"176","MedicalProducts","2017",0.0442792116767721,"Total"
"177","OutpatientCare","2017",0.0236077010209514,"Total"
"178","Dental","2017",0.0394205009453871,"Total"
"179","DiagnosticTests","2017",0.0263988353405757,"Total"
"180","InpatientCare","2017",0.177044349611188,"Total"
"181","Medicines","2018",0.893325013524462,"Poorest"
"182","MedicalProducts","2018",0.0123872353915013,"Poorest"
"183","OutpatientCare","2018",0.0137584388682006,"Poorest"
"184","Dental","2018",0.0166483456437986,"Poorest"
"185","DiagnosticTests","2018",0.022393177658606,"Poorest"
"186","InpatientCare","2018",0.0414877879817783,"Poorest"
"187","Medicines","2018",0.842111514728301,"2nd"
"188","MedicalProducts","2018",0.0334610794223838,"2nd"
"189","OutpatientCare","2018",0.0281644273696525,"2nd"
"190","Dental","2018",0.0286535476550132,"2nd"
"191","DiagnosticTests","2018",0.0149781076407999,"2nd"
"192","InpatientCare","2018",0.052631322964452,"2nd"
"193","Medicines","2018",0.659259871709094,"3rd"
"194","MedicalProducts","2018",0.134401429127996,"3rd"
"195","OutpatientCare","2018",0.0178815687575835,"3rd"
"196","Dental","2018",0.0183447154056398,"3rd"
"197","DiagnosticTests","2018",0.0134270384037296,"3rd"
"198","InpatientCare","2018",0.156685377212861,"3rd"
"199","Medicines","2018",0.49518577479424,"4th"
"200","MedicalProducts","2018",0.217374211421002,"4th"
"201","OutpatientCare","2018",0.0253440757912482,"4th"
"202","Dental","2018",0.00317323337553144,"4th"
"203","DiagnosticTests","2018",0.0300720570949471,"4th"
"204","InpatientCare","2018",0.228850636932377,"4th"
"205","Medicines","2018",0.179958148464736,"Richest"
"206","MedicalProducts","2018",0.467696521448032,"Richest"
"207","OutpatientCare","2018",0.00713013696211464,"Richest"
"208","Dental","2018",0.0902338392940903,"Richest"
"209","DiagnosticTests","2018",0.0456957391726286,"Richest"
"210","InpatientCare","2018",0.209285615696523,"Richest"
"211","Medicines","2018",0.658833898066455,"Total"
"212","MedicalProducts","2018",0.150779687106241,"Total"
"213","OutpatientCare","2018",0.0171825271015936,"Total"
"214","Dental","2018",0.0337226652579827,"Total"
"215","DiagnosticTests","2018",0.0251212804348192,"Total"
"216","InpatientCare","2018",0.114359940973984,"Total"
